created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1607700798.0,iPhone,1607702448.0,walking,False,False,50bf07cd02844a0ab28294d6db7877b9,False,,Walking Workout,9bdf6bf1234d453688f06d17f202993c,iOS_app,1607700858.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1164.0,2.0,,,,,1607700798.0,1607682798.0,,,,Jess Sims,2020-12-11 15:33,Friday,early afternoon,December-20
1607019016.0,iPhone,1607020987.0,walking,False,False,4528af287ff44cef98f8fd0042f9df63,False,,Walking Workout,7305e32d009a4462bbf379e7143103ac,iOS_app,1607019077.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1931.0,12.0,,,,,1607019016.0,1607001016.0,,,,Jess Sims,2020-12-03 18:10,Thursday,evening,December-20
1606843819.0,iPhone,1606845888.0,walking,False,False,21e9f175228a4a0b915ca037a529fdf2,False,,Walking Workout,088dbb14fb50426e9d4a981d254d10f1,iOS_app,1606843879.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1793.0,6.0,,,,,1606843819.0,1606825819.0,,,,Selena Samuela,2020-12-01 17:30,Tuesday,evening,December-20
1606499557.0,iPhone,1606501446.0,walking,False,False,17fc7e90beba4de39c4a82fb1f837eb7,False,,Walking Workout,c8c7f3f91d0244de9ac384665352e975,iOS_app,1606499646.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1950.0,3.0,,,,,1606499557.0,1606481557.0,,,,Matt Wilpers,2020-11-27 17:52,Friday,evening,November-20
1606414063.0,iPhone,1606414183.0,cardio,False,False,9fa8776b020442139499f0ffd028c8b2,False,,Cardio Workout,ba49fb613e6d40a4800c54c10e87eddb,iOS_app,1606414153.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,119.0,1.0,,,,,1606414063.0,1606396063.0,,,,Jess Sims,2020-11-26 18:07,Thursday,evening,November-20
1606407918.0,iPhone,1606408488.0,cycling,False,False,b7d23adb547f43c385f6a34ff142bd6d,False,,Cycling Workout,a6bb55c5dffb4c92a4fcccac56b692a8,iOS_app,1606407948.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,563.0,7.0,,,,,1606407918.0,1606389918.0,,,,Robin Arzón,2020-11-26 16:25,Thursday,early afternoon,November-20
1606166463.0,iPhone,1606168383.0,walking,False,False,e90d683833dc41688b654ed14a580137,False,,Walking Workout,cd9bc9c6d8c840c2b0e9714a93eedd7d,iOS_app,1606166553.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1878.0,4.0,,,,,1606166463.0,1606148463.0,,,,Selena Samuela,2020-11-23 21:21,Monday,late night,November-20
1605756314.0,iPhone,1605756463.0,cycling,False,False,82fcfa71b95e48a9a7195e61d68cac8e,False,,Cycling Workout,0975cf20c91d4acd9266977fb58332b5,iOS_app,1605756403.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,131.0,1.0,,,,,1605756314.0,1605738314.0,,,,Kendall Toole,2020-11-19 03:25,Thursday,early morning,November-20
1605315997.0,iPhone,1605317497.0,cycling,False,False,6973b4d5d2624fdf9b39a95ebf492495,False,,Cycling Workout,86bd76f282454b89b41e9fcb172893bf,iOS_app,1605316087.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,227.0,1.0,,,,,1605315997.0,1605297997.0,,,,Ally Love,2020-11-14 01:06,Saturday,early morning,November-20
1605245788.0,iPhone,1605247618.0,cycling,False,False,e3ce06898ac34d3e839d12e85bb4599c,False,,Cycling Workout,004a6427bac647e6941dbe5adf80a6cd,iOS_app,1605245878.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1825.0,3.0,,,,,1605245788.0,1605227788.0,,,,Jess King,2020-11-13 05:36,Friday,early morning,November-20
1605244004.0,iPhone,1605245383.0,strength,False,False,20c9c0b6fc16486a885c90d0bbd76735,False,,Strength Workout,e9c394b0aa754515a3f090cf2191321e,iOS_app,1605244094.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1373.0,1.0,,,,,1605244004.0,1605226004.0,,,,Robin Arzón,2020-11-13 05:06,Friday,early morning,November-20
1605127523.0,iPhone,1605128812.0,walking,False,False,48353b639ff7477eb2cb55c70622d198,False,,Walking Workout,b8f5c8e0734e43e6980901fd2da829a4,iOS_app,1605127612.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,1381.0,1.0,,,,,1605127523.0,1605109522.0,,,,Chase Tucker,2020-11-11 20:45,Wednesday,evening,November-20
1604969451.0,iPhone,1604970141.0,cycling,False,False,eab70bba3ddc4b38837b82301fdab1e6,False,,Cycling Workout,bcef5e23ec8b462ab34776e5721a134d,iOS_app,1604969481.0,COMPLETE,America/New_York,,0.0,13ae7df2790d48fc9aac5ec797e069f1,class,806.0,1.0,,,,,1604969451.0,1604951451.0,,,,Alex & Tunde  ,2020-11-10 00:50,Tuesday,early morning,November-20
