created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1586462525.0,iPhone,1586462657.0,yoga,False,False,775d438e0264433d82005c927817567f,False,,Yoga Workout,0faa5eb1037d40eda1b9f411b0d49324,iOS_app,1586462555.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,105.0,14.0,,,,,1586462525.0,1586448125.0,,,,Anna Greenberg,2020-04-09 20:02,Thursday,evening,April-20
1586462349.0,iPhone,1586462443.0,yoga,False,False,ce0032aedea14c76b6c569beed43a3d5,False,,Yoga Workout,8714a82f3b604d3f9843c2e387b9d770,iOS_app,1586462379.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,62.0,25.0,,,,,1586462349.0,1586447949.0,,,,Anna Greenberg,2020-04-09 19:59,Thursday,evening,April-20
1586461942.0,iPhone,1586462121.0,meditation,False,False,faa91e1320294d51ab048f04f34608c6,False,,Meditation Workout,575369fc945e4be9a3c5f206e9b26fac,iOS_app,1586462032.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,121.0,29.0,,,,,1586461942.0,1586447542.0,,,,Anna Greenberg,2020-04-09 19:52,Thursday,evening,April-20
1586461768.0,iPhone,1586461934.0,meditation,False,False,e7e0f713093d4af58f3ae2ddd56b0143,False,,Meditation Workout,55e9483a7fc44134b8d22bbd6cbba7ac,iOS_app,1586461828.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,130.0,18.0,,,,,1586461768.0,1586447368.0,,,,Anna Greenberg,2020-04-09 19:49,Thursday,evening,April-20
1586460925.0,iPhone,1586461524.0,yoga,False,False,e26d269719764f47b4ef27debf0aabd6,False,,Yoga Workout,86edf4be33104cef8c62253029935848,iOS_app,1586461014.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,626.0,4.0,,,,,1586460925.0,1586446525.0,,,,Anna Greenberg,2020-04-09 19:35,Thursday,evening,April-20
1586460479.0,iPhone,1586460889.0,yoga,False,False,f7521977a0694ded8b17194d1cddc05e,False,,Yoga Workout,054c7807615e4aa6a982fd9a3c8bd257,iOS_app,1586460538.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,371.0,15.0,,,,,1586460479.0,1586446079.0,,,,Anna Greenberg,2020-04-09 19:27,Thursday,evening,April-20
1586458563.0,iPhone,1586459091.0,yoga,False,False,bcd845090dc6463594f6294422801adb,False,,Yoga Workout,6251405b886c4d3dbed5fbaa5a5a938c,iOS_app,1586458652.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,485.0,22.0,,,,,1586458563.0,1586444163.0,,,,Anna Greenberg,2020-04-09 18:56,Thursday,evening,April-20
1586457616.0,iPhone,1586457715.0,yoga,False,False,b4635ee61ca04070863a137b78030823,False,,Yoga Workout,090743105149419f962617d5dd8f893c,iOS_app,1586457646.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,72.0,16.0,,,,,1586457616.0,1586443216.0,,,,Anna Greenberg,2020-04-09 18:40,Thursday,evening,April-20
1586456743.0,iPhone,1586457599.0,yoga,False,False,43ddb23cf8a34b48a5b95dff51363fd1,False,,Yoga Workout,5e485f0c9f7f41a8aa8a27d50af2649d,iOS_app,1586456779.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,366.0,48.0,,,,,1586456743.0,1586442343.0,,,,Anna Greenberg,2020-04-09 18:25,Thursday,evening,April-20
1586455744.0,iPhone,1586456700.0,yoga,False,False,1db3979b892d48c0a0d7d1eec612dd45,False,,Yoga Workout,1771a6ef21b24e93a4f7fc0089156223,iOS_app,1586455803.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,250.0,34.0,,,,,1586455744.0,1586441344.0,,,,Anna Greenberg,2020-04-09 18:09,Thursday,evening,April-20
1586452835.0,iPhone,1586452943.0,yoga,False,False,f87fa325da4149b580578adee4cb6efa,False,,Yoga Workout,7a69cdb3624f4842903748f87f5e0789,iOS_app,1586452865.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,78.0,9.0,,,,,1586452835.0,1586438435.0,,,,Anna Greenberg,2020-04-09 17:20,Thursday,evening,April-20
