,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name
18,1620607165,iPhone,1620607374.0,strength,False,False,086d30f8810447f78b643219b0aa89db,False,,Strength Workout,2bbb369964d54ec381e64b383f52f55f,iOS_app,1620607194,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,200,2,175.0,0.0,,,1620607165,1620592765,,,,,Jess Sims
19,1620605726,home_bike_plus,1620606356.0,strength,False,False,4b84d33914c149d984526c72c02f4903,False,,Strength Workout,6399ac8596fe4990b0ef21b6dbfc75af,home_bike,1620605758,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,601,0,730.0,0.0,,,1620605726,1620591326,,,,,Matty Maggiacomo
20,1620604138,home_bike_plus,1620605371.0,strength,False,False,7d52797ebdc6488b81312189fad2361b,False,,Strength Workout,29ee7e750ce44978bdc7682332a1088e,home_bike,1620604174,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1231,0,1485.0,0.0,,,1620604138,1620589738,,,,,Adrian Williams
21,1620604040,home_bike_plus,1620604112.0,strength,False,False,59576cd4f85d476f9c23ffb6902e9c74,False,,Strength Workout,a54ad24b86b0451bb61d97dd1890b9b0,home_bike,1620604102,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,61,0,69.0,0.0,,,1620604040,1620589640,,,,,Robin Arzón
22,1620601311,home_bike_plus,1620604002.0,strength,False,False,02c312a5f75c4b61a8090ae15ffa1272,False,,Strength Workout,861d62c147be48b6836ee673d487f4a5,home_bike,1620601373,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,2671,0,2681.0,0.0,,,1620601311,1620586911,,,,,Rebecca Kennedy
23,1620598765,home_bike_plus,1620600625.0,strength,False,False,dbada4e5fdda4718a0bb5c37710b07d1,False,,Strength Workout,7d25fb9436c9449ba90feed260777ebd,home_bike,1620598827,COMPLETE,Etc/GMT+4,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,1831,0,2077.0,0.0,,,1620598765,1620584365,,,,,Jess Sims
24,1620396269,iPhone,1620396928.0,strength,False,False,c4cf3d253def4865a8c29386f4a9bc3f,False,,Strength Workout,4b236a92dd054bbd9441209ca3e4dd77,iOS_app,1620396328,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,758,1,749.0,0.0,,,1620396269,1620381869,,,,,Adrian Williams
25,1620395450,iPhone,1620396079.0,strength,False,False,e159b2aad8154ad49e2640d2ebef3668,False,,Strength Workout,1f516806e33a4872beb3e28ac90454f7,iOS_app,1620395480,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,599,1,621.0,0.0,,,1620395450,1620381050,,,,,Andy Speer
26,1620389854,iPhone,1620390274.0,strength,False,False,a079bf05919d4a3d9303b8af86965240,False,,Strength Workout,6377f9add7424e0e8da170b678d70bf2,iOS_app,1620389913,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,409,1,389.0,0.0,,,1620389854,1620375454,,,,,Rebecca Kennedy
27,1620389325,iPhone,1620389829.0,strength,False,False,aa250eb8664544bc98aaaa2f4bacc8bf,False,,Strength Workout,7aae249529c4418ba760f6b680635b5c,iOS_app,1620389415,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,453,2,476.0,0.0,,,1620389325,1620374925,,,,,Jess Sims
