,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name
15,1642936168,iPhone,1642936596.0,stretching,False,False,7cb66d89ffdb4a018966076a842174a3,False,,Stretching Workout,1f3149c985454a4f8f12f3b1d758c19b,iOS_app,1642936198,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,410.0,8.0,,,1642936168,1642936168,,,,Rebecca Kennedy
16,1642935797,iPhone,1642935962.0,stretching,False,False,227397f1d87f4537883423e181490aa0,False,,Stretching Workout,2ea66784c80e418db9bf8dd6330054d4,iOS_app,1642935827,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,148.0,2.0,,,1642935797,1642935797,,,,Rebecca Kennedy
17,1642925325,iPhone,1642927574.0,running,False,False,a67680997f2e45c1868bb5b4861db840,False,,Running Workout,2f188fbcfc3c471e8d9be3a20ec17300,iOS_app,1642925385,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,2341.0,0.0,,,1642925325,1642925325,,,,Tobias Heinze
18,1642925274,iPhone,,running,False,False,9b354e952ba0416fb4de8d63b6bdc44e,False,,Running Workout,2f188fbcfc3c471e8d9be3a20ec17300,iOS_app,1642925274,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,,,,,1642925274,1642925274,,,,Tobias Heinze
19,1642781388,iPhone,1642783278.0,circuit,False,False,576dde3c35ed46efae504090b2b657ac,False,,Tread Bootcamp Workout,b48042c1b65f4112b28defcc578684c8,iOS_app,1642781478,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,1994.0,0.0,,,1642781388,1642781388,,,,Jess Sims
20,1642709780,iPhone,1642711670.0,running,False,False,4885647e8f0141eeafe7a06cb3e77c1c,False,,Running Workout,7aaf1230be9849909728e1f047ed9f4a,iOS_app,1642709870,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,2016.0,0.0,,,1642709780,1642709780,,,,Marcel Maurer
21,1642624787,web,1642624900.0,strength,False,False,d10df94ef39245f4bbf9f09e558dfcc1,False,,Strength Workout,183b52b12ee04a47abadc3cfc43a16a4,web,1642624803,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,96.0,14.0,,,1642624787,1642624787,,,,Andy Speer
22,1642624557,web,1642624735.0,strength,False,False,42941b2c7f9440f9963efb8515324c08,False,,Strength Workout,02edb67d2b4c45fab3d238a1731c86cc,web,1642624574,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,156.0,19.0,,,1642624557,1642624557,,,,Rebecca Kennedy
23,1642624223,web,1642624488.0,strength,False,False,26534caeed22471db750731cd1167dc4,False,,Strength Workout,9b2a9a03071949209407a0fb703b850c,web,1642624248,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,251.0,16.0,,,1642624223,1642624223,,,,Callie Gullickson
24,1642529031,web,1642529361.0,running,False,False,4805d42e0e01400799b1c7a878a72b8a,False,,Running Workout,4b818bc3621b4f98bfefd424bb77744b,web,1642529061,COMPLETE,Europe/London,,0.0,654e8f77703546c5a4ea2ee29eb0fd6c,class,0,0,10.0,0.0,,,1642529031,1642529031,,,,Tobias Heinze
