,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name
31,1639994355,iPhone,1639994624.0,cycling,False,False,cb70878a864343119e462ae00c6bd7c2,False,,Cycling Workout,37bc3c9513ba4473a0a38e0264a8c1fb,iOS_app,1639994444,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,267.0,0.0,,,1639994355,1639994355,,,,,Benny Adami
32,1639962426,iPhone,1639962906.0,cycling,False,False,6233ab94ac374978b652cfb5fbc5d6be,False,,Cycling Workout,3b743586cacc469ba1fb9f0d6fe9a11a,iOS_app,1639962456,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,393.0,52.0,,,1639962426,1639962426,,,,,Benny Adami
33,1639962302,iPhone,1639962385.0,cycling,False,False,f96e83b93c254b77826c6891f9ffd9c6,False,,Cycling Workout,eea5dd3c20a444afa46ee48ee937e9fb,iOS_app,1639962331,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,76.0,3.0,,,1639962302,1639962302,,,,,Benny Adami
34,1639962227,iPhone,1639962290.0,cycling,False,False,6f59a1587ff2406bb754c2803e945698,False,,Cycling Workout,3b8cbfaeb5ba4eb5887f0bbdfbe11e70,iOS_app,1639962286,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,56.0,5.0,,,1639962227,1639962227,,,,,Benny Adami
35,1639952336,iPhone,1639952996.0,meditation,False,False,184c43daf2c046f192d15b9577122a79,False,,Meditation Workout,1df6bea1bbfc43aeab7b678adeb17c1d,iOS_app,1639952396,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,,,,,1639952336,1639952336,,,,,Aditi Shah
36,1639942803,iPhone,1639944491.0,cycling,False,False,b955d108e8364cbe9f0d5f8931d0cfd6,False,,Cycling Workout,ba202a91f140407da20193cfb9c906aa,iOS_app,1639942832,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,123.0,4.0,,,1639942803,1639942803,,,,,Benny Adami
37,1639942584,iPhone,1639942653.0,cycling,False,False,70d4e7f8a64743b3bd5dc06fcd99892f,False,,Cycling Workout,3c6b7bfa08c047609aa28f9333190084,iOS_app,1639942653,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,65.0,0.0,,,1639942584,1639942584,,,,,Jess King
38,1639935998,iPhone,1639937494.0,cycling,False,False,81e8cc75c0e94d2d906c45d61cfe732c,False,,Cycling Workout,2021e0a847b5466389aad419e26e7a40,iOS_app,1639936087,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,1030.0,13.0,,,1639935998,1639935998,,,,,Benny Adami
39,1639932748,home_bike_plus,1639933860.0,cycling,True,True,93e580e18a914f229ea34616ee00504c,False,cycling,Cycling Workout,c76e613ae3024e559f6e0163e88becd8,home_bike,1639932960,COMPLETE,UTC,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,1070.0,0.0,,,1639932748,1639932748,,,,,Benny Adami
40,1639930511,iPhone,1639931500.0,cycling,False,False,7341a38cc9b44449937f4a166380f5e2,False,,Cycling Workout,6c2ffe8a09b64d69872cb5ea06cdd981,iOS_app,1639930600,COMPLETE,Europe/London,,0.0,6b4f502a1d224450b92f3ea101b0f8bf,class,0,0,1071.0,1.0,,,1639930511,1639930511,,,,,Benny Adami
