Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-02-16 07:30 (-05),On Demand,Matty Maggiacomo,20,Strength,Bodyweight,20 min Mood Bodyweight Strength: Salty,2022-02-14 08:00 (-05),,,,,,,190,119.63,,
2022-02-16 07:52 (-05),On Demand,Chase Tucker,10,Strength,Bodyweight,10 min Bodyweight Strength,2021-11-01 09:00 (-05),,,,,,,125,139.00,,
2022-02-17 07:26 (-05),On Demand,Alex Toussaint,30,Cycling,Theme,30 min AT's Ride to Greatness,2022-02-14 18:23 (-05),244,136,45%,77,17.98,8.99,487,162.94,,
2022-02-19 11:20 (-05),On Demand,Matt Wilpers,30,Cycling,Music,30 min EDM Ride,2022-02-18 09:53 (-05),201,112,42%,77,16.54,8.28,397,143.69,,
2022-02-20 08:46 (-05),On Demand,Rad Lopez,20,Strength,Bodyweight,20 min Bodyweight Strength,2022-02-09 08:19 (-05),,,,,,,223,129.62,,
2022-02-20 09:08 (-05),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2022-02-18 10:00 (-05),,,,,,,131,143.16,,
2022-02-22 07:29 (-05),On Demand,Rebecca Kennedy,20,Strength,Bodyweight,20 min Bodyweight Strength,2022-02-21 08:20 (-05),,,,,,,176,114.40,,
2022-02-22 07:49 (-05),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2021-11-08 03:57 (-05),,,,,,,76,107.86,,
2022-02-23 08:07 (-05),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min MOS Ibiza Chillout Full Body,2021-08-16 00:00 (-05),,,,,,,30,,,
2022-02-24 07:24 (-05),On Demand,Callie Gullickson,20,Strength,Bodyweight,20 min Bodyweight Strength,2022-02-19 08:50 (-05),,,,,,,183,116.75,,
2022-02-24 07:45 (-05),On Demand,Daniel McKenna,10,Strength,Bodyweight,10 min Bodyweight Strength,2022-02-12 13:40 (-05),,,,,,,118,134.53,,
2022-02-25 07:10 (-05),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2022-02-22 18:21 (-05),204,113,43%,72,16.49,8.25,414,147.38,,
2022-02-28 07:02 (-05),On Demand,Jess King,30,Cycling,Theme,30 min Sweat Steady Ride,2022-02-26 09:24 (-05),194,108,39%,80,16.47,8.24,409,146.32,,
